food ,7850
food ,7791
food ,7760
food ,7934
food ,8109
food ,8629
food ,8784
food ,5709
food ,5573
food ,5564
food ,5718
food ,5880
food ,6126
food ,6176
food ,581
food ,560
food ,531
food ,567
food ,562
food ,574
food ,578
food ,359
food ,335
food ,359
food ,320
food ,327
food ,341
food ,347
food ,713
food ,669
food ,696
food ,698
food ,719
food ,755
food ,781
food ,616
food ,621
food ,578
food ,652
food ,675
food ,710
food ,718
food ,899
food ,857
food ,855
food ,876
food ,864
food ,903
food ,888
food ,1027
food ,1012
food ,1042
food ,1044
food ,1182
food ,1194
food ,1163
food ,199
food ,200
food ,178
food ,200
food ,211
food ,213
food ,203
food ,1315
food ,1319
food ,1326
food ,1362
food ,1342
food ,1437
food ,1499
food ,2141
food ,2218
food ,2195
food ,2216
food ,2229
food ,2502
food ,2608
food ,1885
food ,1950
food ,1921
food ,1963
food ,1959
food ,2222
food ,2303
food ,256
food ,268
food ,274
food ,253
food ,270
food ,281
food ,305
transport,11156
transport,11262
transport,11202
transport,12044
transport,11891
transport,11761
transport,11909
transport,10097
transport,10193
transport,10076
transport,10832
transport,10717
transport,10538
transport,10660
transport,5076
transport,4546
transport,4259
transport,4714
transport,4566
transport,4728
transport,4977
transport,4518
transport,4034
transport,3879
transport,4333
transport,4072
transport,4207
transport,4432
transport,2407
transport,1871
transport,1925
transport,1964
transport,1757
transport,1822
transport,1825
transport,360
transport,271
transport,307
transport,317
transport,238
transport,240
transport,222
transport,1750
transport,1892
transport,1647
transport,2053
transport,2078
transport,2144
transport,2385
transport,21
transport,12
transport,50
transport,45
transport,52
transport,51
transport,47
transport,537
transport,500
transport,329
transport,335
transport,442
transport,470
transport,498
transport,498
transport,461
transport,304
transport,311
transport,383
transport,415
transport,452
transport,313
transport,259
transport,195
transport,184
transport,235
transport,239
transport,209
transport,186
transport,202
transport,109
transport,127
transport,148
transport,177
transport,243
transport,38
transport,39
transport,26
transport,23
transport,54
transport,47
transport,54
transport,46
transport,52
transport,52
transport,59
transport,59
transport,65
transport,4967
transport,5601
transport,5765
transport,6067
transport,6092
transport,5751
transport,5618
transport,407
transport,405
transport,374
transport,515
transport,534
transport,546
transport,551
transport,1260
transport,1305
transport,1339
transport,1259
transport,1239
transport,1260
transport,1239
transport,340
transport,395
transport,379
transport,373
transport,377
transport,370
transport,371
transport,497
transport,537
transport,971
transport,962
transport,1081
transport,1118
transport,1122
transport,13
transport,10
transport,12
transport,12
transport,14
transport,10
transport,11
transport,2108
transport,2618
transport,2377
transport,2572
transport,2470
transport,2093
transport,1950
transport,225
transport,185
transport,176
transport,192
transport,213
transport,209
transport,219
transport,42
transport,59
transport,44
transport,91
transport,74
transport,51
transport,63
transport,76
transport,85
transport,94
transport,91
transport,89
transport,94
transport,90
transport,54
transport,58
transport,62
transport,61
transport,60
transport,62
transport,58
transport,22
transport,27
transport,32
transport,30
transport,29
transport,32
transport,32
transport,1060
transport,1069
transport,1126
transport,1212
transport,1175
transport,1224
transport,1249
transport,247
transport,251
transport,251
transport,272
transport,263
transport,259
transport,271
transport,78
transport,76
transport,77
transport,84
transport,93
transport,94
transport,100
transport,15
transport,17
transport,30
transport,29
transport,29
transport,31
transport,39
transport,605
transport,613
transport,648
transport,701
transport,676
transport,704
transport,705
transport,11
transport,9
transport,10
transport,10
transport,11
transport,11
transport,9
transport,31
transport,34
transport,43
transport,39
transport,41
transport,47
transport,48
